Lat,Lon,Title,Country/Region,Confirmed,Deaths
31.1517252,112.8783222,Hubei,China,67.773,3.046
29.0000001,119.9999999,Zhejiang,China,1.215,1
23.1357694,113.1982688,Guangdong,China,1.356,8
34.0000001,113.9999999,Henan,China,1.273,22
27.6662087,111.7487063,Hunan,China,1.018,4
32,117,Anhui,China,990,6
28,116,Jiangxi,China,935,1
29.5585712,106.5492822,Chongqing,China,576,6
30.5000001,102.4999999,Sichuan,China,539,3
36.0000001,118.9999999,Shandong,China,760,6
33.0000001,119.9999999,Jiangsu,China,631,0
31.2252985,121.4890497,Shanghai,China,344,3
39.906217,116.3912757,Beijing,China,435,8
26.5450001,117.842778,Fujian,China,296,1
36,109,Shaanxi,China,245,1
24,109,Guangxi,China,252,2
39.0000001,116,Hebei,China,318,6
25,102,Yunnan,China,174,2
48.0000047,127.999992,Heilongjiang,China,482,13
40.9739116,122.3263915,Liaoning,China,125,1
19.2000001,109.5999999,Hainan,China,168,6
37,112,Shanxi,China,133,0
39.1235635,117.1980785,Tianjin,China,136,3
38.0000001,101.9999999,Gansu,China,125,2
27,107,Guizhou,China,146,2
37.3095528,105.9608553,Ningxia,China,75,0
43.2443242,114.3251664,Inner Mongolia,China,75,1
41.7574769,87.1673842,Xinjiang,China,76,3
42.9995032,125.9816054,Jilin,China,93,1
35.4070952,95.9521157,Qinghai,China,18,0
31.8943432,87.0781371,Tibet,China,1,0
22.1757605,113.5514142,Macau,China,10,0
22.2793278,114.1628131,Hong Kong,China,130,3
23.9739374,120.9820179,Taiwan,Taiwan,48,1
38.8948932,-77.0365529,Washington,US,273,23
36.7014631,-118.7559974,California,US,157,2
40.7127281,-74.0060152,New York,US,176,0
42.3788774,-72.032366,Massachusetts,US,92,0
41.6809707,44.0287382,Georgia,US,22,0
27.7567667,-81.4639835,Florida,US,28,2
43.9792797,-120.737257,Oregon,US,15,0
31.8160381,-99.5120986,Texas,US,13,0
38.7251776,-105.6077167,Colorado,US,18,0
40.0796606,-89.4337288,Illinois,US,19,0
40.0757384,-74.4041622,New Jersey,US,15,1
40.9699889,-77.7278831,Pennsylvania,US,14,0
41.9216734,-93.3122705,Iowa,US,13,0
35.6729639,-79.0392919,North Carolina,US,7,0
33.6874388,-80.4363743,South Carolina,US,9,0
37.1232245,-78.4927721,Virginia,US,9,0
34.395342,-111.7632755,Arizona,US,6,0
37.5726028,-85.1551411,Kentucky,US,8,0
39.5162234,-76.9382069,Maryland,US,9,0
38.8936613,-76.9878833,District of Columbia,US,4,0
40.3270127,-86.1746933,Indiana,US,6,0
39.5158825,-116.8537227,Nevada,US,4,0
43.4849133,-71.6553992,New Hampshire,US,5,0
